"stk","yr","marCatch","frfnCatch","totalCatch","totalRun"
2,1998,0.129546,0.065179,0.194725,0.61904
2,1999,0.006604,0.017975,0.024579,0.100142
2,2000,0.279265,0.112479,0.394979,0.849376
2,2001,0.132267,0.076015,0.21259,0.564105
2,2002,0.09842,0.053646,0.1544,0.34349
2,2003,0.05355,0.023521,0.079885,0.130081
2,2004,0.392392,0.152058,0.557563,0.884766
2,2005,0.074931,0.089261,0.165682,0.458842
2,2006,0.100851,0.024268,0.12836,0.205523
2,2007,0.003665,0.008294,0.011959,0.020446
2,2008,0.017842,0.099087,0.123132,0.269701
2,2009,0.005092,0.009695,0.014915,0.12362
2,2010,0.057439,0.018685,0.077615,0.184386
2,2011,0.002589,0.002619,0.005369,0.01046
2,2012,0.023493,0.058784,0.082523,0.192074
2,2013,0.024294,0.025145,0.049439,0.225124
2,2014,0.078773,0.01416,0.095325,0.148684
2,2015,0.005393,0.002528,0.007922,0.038679
3,1952,0.146081,0.006766,0.152847,0.193231
3,1953,0.148552,0.004718,0.15327,0.195404
3,1954,0.750792,0.017458,0.76825,0.910109
3,1955,0.319928,0.013101,0.333029,0.384768
3,1956,0.150248,0.00659,0.156838,0.195276
3,1957,0.130008,0.004356,0.134364,0.172886
3,1958,1.036129,0.009562,1.045691,1.158228
3,1959,0.583013,0.008142,0.591155,0.67046
3,1960,0.200196,0.008415,0.208611,0.247491
3,1961,0.115201,0.008014,0.123215,0.170078
3,1962,0.187536,0.019068,0.206604,0.331089
3,1963,0.3704,0.021939,0.392339,0.531133
3,1964,0.120624,0.014529,0.135153,0.169825
3,1965,0.110285,0.008531,0.118816,0.158201
3,1966,0.463736,0.016832,0.480568,0.582097
3,1967,0.624281,0.015102,0.639383,0.730863
3,1968,0.139305,0.014463,0.153768,0.184136
3,1969,0.178441,0.010417,0.188858,0.238069
3,1970,0.287441,0.01545,0.302891,0.348688
3,1971,0.504834,0.010118,0.514952,0.554643
3,1972,0.098588,0.008962,0.10755,0.14425
3,1973,0.200844,0.008318,0.209162,0.239566
3,1974,0.188013,0.016903,0.204916,0.246193
3,1975,0.289961,0.046987,0.336948,0.512889
3,1976,0.517482,0.04301,0.560492,0.711226
3,1977,0.090223,0.007177,0.0974,0.120597
3,1978,0.209108,0.023824,0.232932,0.29183
3,1979,1.511504,0.050697,1.562201,1.852243
3,1980,0.178172,0.031759,0.209931,0.284265
3,1981,0.199625,0.015193,0.214818,0.236644
3,1982,0.329206,0.046367,0.375573,0.444993
3,1983,0.347678,0.057409,0.405087,0.526779
3,1984,0.577726,0.042417,0.620143,0.6811
3,1985,0.390953,0.020339,0.411292,0.453391
3,1986,0.228948,0.054978,0.283926,0.361103
3,1987,0.841811,0.091352,0.933163,1.144248
3,1988,0.387135,0.148325,0.53546,0.903196
3,1989,0.303412,0.017498,0.32091,0.364089
3,1990,0.349377,0.032897,0.382274,0.476394
3,1991,0.354331,0.024323,0.378654,0.474568
3,1992,0.477318,0.036426,0.513744,0.648419
3,1993,0.439018,0.022237,0.461255,0.552326
3,1994,0.579344,0.067741,0.647085,0.956074
3,1995,0.150771,0.12318,0.273951,0.415564
3,1996,0.25796,0.180541,0.438501,0.771664
3,1997,0.135525,0.011083,0.146608,0.201951
3,1998,0.174835,0.086747,0.261582,0.835082
3,1999,0.014268,0.035329,0.049597,0.216696
3,2000,0.227513,0.089434,0.319583,0.692039
3,2001,0.057444,0.033388,0.092703,0.244993
3,2002,0.160765,0.06586,0.236951,0.561079
3,2003,0.114366,0.050233,0.170607,0.27781
3,2004,0.329347,0.095758,0.434346,0.678057
3,2005,0.044664,0.052252,0.097809,0.273499
3,2006,0.122791,0.045945,0.174578,0.312218
3,2007,0.003587,0.013778,0.017365,0.058972
3,2008,0.018855,0.04586,0.067653,0.228576
3,2009,0.001627,0.003098,0.004767,0.039508
3,2010,0.123558,0.040193,0.166961,0.39664
3,2011,0.048303,0.048867,0.100173,0.195155
3,2012,0.034813,0.087111,0.122289,0.284633
3,2013,0.018048,0.01868,0.036728,0.167246
3,2014,0.789082,0.141838,0.954884,1.489386
3,2015,0.024032,0.011385,0.035418,0.172344
4,1952,0.059241,0.002335,0.061576,0.080221
4,1953,0.048474,0.000995,0.049469,0.062746
4,1954,0.053559,0.001291,0.05485,0.065365
4,1955,0.095081,0.002183,0.097264,0.113076
4,1956,0.029537,0.000461,0.029998,0.036992
4,1957,0.064268,0.000624,0.064892,0.076903
4,1958,0.052357,0.000748,0.053105,0.067948
4,1959,0.065114,0.001555,0.066669,0.095916
4,1960,0.023011,0.001244,0.024255,0.031875
4,1961,0.043728,0.000729,0.044457,0.051906
4,1962,0.011727,0.00089,0.012617,0.018903
4,1963,0.028399,0.003081,0.03148,0.056621
4,1964,0.013982,0.002196,0.016178,0.022678
4,1965,0.023981,0.000646,0.024627,0.027286
4,1966,0.017326,0.000339,0.017665,0.020135
4,1967,0.172027,0.00375,0.175777,0.207472
4,1968,0.027483,0.003637,0.03112,0.034731
4,1969,0.014534,0.000455,0.014989,0.018861
4,1970,0.019875,0.001045,0.02092,0.022225
4,1971,0.156563,0.01285,0.169413,0.19491
4,1972,0.041199,0.004569,0.045768,0.049906
4,1973,0.017727,0.000967,0.018694,0.023252
4,1974,0.012757,0.002427,0.015184,0.017034
4,1975,0.086366,0.008271,0.094637,0.124337
4,1976,0.01335,0.001606,0.014956,0.017206
4,1977,0.007819,0.000331,0.00815,0.01065
4,1978,0.012089,0.000596,0.012685,0.015826
4,1979,0.081399,0.007072,0.088471,0.123471
4,1980,0.004269,0.000865,0.005134,0.008028
4,1981,0.004462,0.000243,0.004705,0.005875
4,1982,0.034201,0.013576,0.047777,0.049424
4,1983,0.006105,0.003882,0.009987,0.016438
4,1984,0.037357,0.005615,0.042972,0.053435
4,1985,0.011689,0.002404,0.014093,0.020512
4,1986,0.000538,0.001221,0.001759,0.004883
4,1987,0.008905,0.018832,0.027737,0.038808
4,1988,0.018047,0.015827,0.033874,0.046654
4,1989,0.018444,0.00135,0.019794,0.022328
4,1990,0.008739,0.006691,0.01543,0.02329
4,1991,0.01005,0.003838,0.013888,0.018807
4,1992,0.003587,0.007777,0.011364,0.015958
4,1993,0.003602,0.001539,0.005141,0.006325
4,1994,0.003107,0.00621,0.009317,0.026743
4,1995,0.011318,0.012615,0.023933,0.05835
4,1996,0.001662,0.001869,0.003531,0.011707
4,1997,0.013257,0.00247,0.015727,0.019273
4,1998,0.000554,0.001406,0.00196,0.01025
4,1999,0.001221,0.005005,0.006226,0.029198
4,2000,0.003521,0.005993,0.009514,0.022954
4,2001,0.000619,0.000955,0.001574,0.007416
4,2002,0.003571,0.00262,0.006191,0.014961
4,2003,0.008662,0.003511,0.012735,0.025463
4,2004,0.009914,0.003741,0.013975,0.023894
4,2005,0.000665,0.000697,0.001392,0.005829
4,2006,0.002388,0.000948,0.003495,0.00957
4,2007,0.001089,0.000502,0.001591,0.004159
4,2008,0.000188,0.000959,0.001169,0.003045
4,2009,0.000209,0.000406,0.000619,0.004959
4,2010,0.002932,0.001419,0.004421,0.01531
4,2011,0.001157,0.003599,0.004828,0.01098
4,2012,1.5e-05,7e-05,8.5e-05,0.000254
4,2013,0.000138,0.000728,0.000866,0.005556
4,2014,0.003207,0.005984,0.009562,0.024825
4,2015,0.000411,0.001076,0.001488,0.008241
5,1952,0.050964,0.001091,0.052055,0.067672
5,1953,0.029038,0.00049,0.029528,0.037432
5,1954,0.032098,0.000341,0.032439,0.042427
5,1955,0.034253,0.001294,0.035547,0.040626
5,1956,0.047982,0.002157,0.050139,0.059176
5,1957,0.028023,0.000412,0.028435,0.035295
5,1958,0.030217,0.000372,0.030589,0.040803
