scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,usER,propMixHigh,enRouteMort,constrain,singleHCR,moveTAC,prodRegime,startYear,endYear,rho,arSigTransform,correlCU,corrMat,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsAgeErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,adjustEnRouteSig
medSigSkewT,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,skewT,NA,NA,0.2,TRUE,0.3,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,1,1,1,1
medSigSkewT,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,skewT,NA,NA,0.2,TRUE,0.6,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,1,1,1,1
highSigSkewT,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,skewT,NA,NA,0.2,TRUE,0,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,1.25,1,1,1
highSigSkewT,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,skewT,NA,NA,0.2,TRUE,0.3,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,1.25,1,1,1
highSigSkewT,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,skewT,NA,NA,0.2,TRUE,0.6,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,1.25,1,1,1
lowSigLowA,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,low,NA,NA,0.2,TRUE,0,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,0.75,1,1,1
lowSigLowA,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,low,NA,NA,0.2,TRUE,0.3,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,0.75,1,1,1
lowSigLowA,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,low,NA,NA,0.2,TRUE,0.6,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,0.75,1,1,1
medSigLowA,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,low,NA,NA,0.2,TRUE,0,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,1,1,1,1
medSigLowA,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,low,NA,NA,0.2,TRUE,0.3,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,1,1,1,1
medSigLowA,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,low,NA,NA,0.2,TRUE,0.6,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,1,1,1,1
highSigLowA,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,low,NA,NA,0.2,TRUE,0,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,1.25,1,1,1
highSigLowA,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,low,NA,NA,0.2,TRUE,0.3,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,1.25,1,1,1
highSigLowA,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,low,NA,NA,0.2,TRUE,0.6,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,1.25,1,1,1
