scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,usER,propMixHigh,enRouteMort,constrain,singleHCR,moveTAC,prodRegime,startYear,endYear,rho,arSigTransform,correlCU,corrMat,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsAgeErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,adjustEnRouteSig
ageTau,low,TAM,adjustAge,1,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.5,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,1,0.5,1,1
ageTau,high,TAM,adjustAge,2,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.5,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,1,1.25,1,1
ouSig,low,TAM,mixOUSig,1,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.5,FALSE,0,0,0,0.07,0,0,0.1,0.5,1,0.0001,1,1,1,1
ouSig,high,TAM,mixOUSig,2,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.5,FALSE,0,0,0.15,0.07,0,0,0.1,0.5,1,0.0001,1,1,1,1
enRouteSig,low,TAM,adjustEnRoute,1,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.5,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,1,1,1,0.75
enRouteSig,high,TAM,adjustEnRoute,2,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.5,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,1,1,1,1.25
rho,low,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0,TRUE,0.5,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,1,1,1,1
rho,high,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.72,TRUE,0.5,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,1,1,1,1
refSensitivity,reference,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.5,FALSE,0,0,0.07,0.07,0,0,0.1,0.5,1,0.0001,1,1,1,1
