"stk","yr","cyc","rec2","rec3","rec4","rec5","rec","eff","juv","ets","prod","model","eff1","eff2","eff3"
1,1990,2,0,2e-06,0.156963,0.009121,0.166084,0.047065,NA,0.093371,1.26096405946673,"larkin",0.211041,0.088071,0.075524
1,1991,3,0,0.000514,0.129192,0.014581,0.143773,0.085456,NA,0.138286,0.52023404328141,"larkin",0.047065,0.211041,0.088071
1,1992,4,0,1e-05,0.080797,0.019569,0.100366,0.036565,NA,0.05838,1.00973200576308,"larkin",0.085456,0.047065,0.211041
1,1993,1,0,0.000847,1.652166,0.16177,1.813936,0.386806,NA,0.679396,1.54533107355477,"larkin",0.036565,0.085456,0.047065
1,1994,2,0,6e-06,0.02799,0.001034,0.029024,0.014499,NA,0.026703,0.694043392401669,"larkin",0.386806,0.036565,0.085456
1,1995,3,0,2e-05,0.170595,0.018985,0.18958,0.057342,NA,0.108053,1.1957777595128,"larkin",0.014499,0.386806,0.036565
1,1996,4,0,0,0.359206,0.10494,0.464146,0.041063,NA,0.083274,2.42509168517429,"larkin",0.057342,0.014499,0.386806
1,1997,1,0,1e-06,0.109249,0.038121,0.14737,0.073416,NA,0.216779,0.69680453570846,"larkin",0.041063,0.057342,0.014499
1,1998,2,0,2e-06,0.024341,0.004349,0.02869,0.009332,NA,0.018221,1.12309927583409,"larkin",0.073416,0.041063,0.057342
1,1999,3,0,0,0.025927,0.004639,0.030566,0.008189,NA,0.020883,1.31709648981759,"larkin",0.009332,0.073416,0.041063
1,2000,4,0,0,0.132457,0.003417,0.135874,0.035333,NA,0.079487,1.34691061427149,"larkin",0.008189,0.009332,0.073416
1,2001,1,0,5e-06,0.216279,0.035722,0.252001,0.082852,NA,0.158779,1.11237717216424,"larkin",0.035333,0.008189,0.009332
1,2002,2,0,0,0.020266,0.0043,0.024566,0.012921,NA,0.023742,0.642509478376819,"larkin",0.082852,0.035333,0.008189
1,2003,3,0,0,0.008431,0.001588,0.010019,0.006932,NA,0.012718,0.368334918423766,"larkin",0.012921,0.082852,0.035333
