scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,usER,propMixHigh,propMixLow,enRouteMort,varyAllocation,prodRegime,startYear,endYear,freqSkew,rho,arSigTransform,correlCU,corrMat,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsSBias,propSampleCU,sampleProb,ageErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,adjustEnRouteSig,adjustBeta
trialNumber,sim1,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,0,TRUE,FALSE,med,NA,NA,NA,0.5,TRUE,0.5,FALSE,0,0,0.07,0.07,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,1
trialNumber,sim2,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,0,TRUE,FALSE,med,NA,NA,NA,0.5,TRUE,0.5,FALSE,0,0,0.07,0.07,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,1
trialNumber,sim3,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,0,TRUE,FALSE,med,NA,NA,NA,0.5,TRUE,0.5,FALSE,0,0,0.07,0.07,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,1
trialNumber,sim4,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,0,TRUE,FALSE,med,NA,NA,NA,0.5,TRUE,0.5,FALSE,0,0,0.07,0.07,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,1
