"","sigma","om","var","synch","cat","avg","lowQ","highQ"
"60","low","Low Prod.","ppnCUUpper","0.5","med",0.259722222222222,0.220833333333333,0.301388888888889
"61","low","Low Prod.","ppnCUExtant","0.75","high",1,0.944444444444444,1
"62","low","Low Prod.","ppnCUExtant","0.05","low",1,1,1
"63","low","Low Prod.","ppnCUExtant","0.5","med",1,0.944444444444444,1
"64","low","Low Prod.","medCatch","0.75","high",1.59880552526282,1.29454467707782,1.94507817995614
"65","low","Low Prod.","medCatch","0.05","low",2.67625869698925,2.24075406273707,3.14872170346421
"66","low","Low Prod.","medCatch","0.5","med",1.82318059751631,1.49176110462902,2.23940627505586
"67","low","Low Prod.","ppnYrsHighCatch","0.75","high",0.8,0.675,0.9
"68","low","Low Prod.","ppnYrsHighCatch","0.05","low",0.95,0.9,0.95
"69","low","Low Prod.","ppnYrsHighCatch","0.5","med",0.875,0.775,0.925
"70","low","Low Prod.","stabilityCatch","0.75","high",1.51527968425393,1.20950747701186,1.82747092020841
"71","low","Low Prod.","stabilityCatch","0.05","low",1.72960667305245,1.30619548847515,2.15112821463286
"72","low","Low Prod.","stabilityCatch","0.5","med",1.57180796545109,1.25918394492044,1.94641777224861
"73","med","Low Prod.","medRecRY","0.75","high",3.97951602664102,3.05895119649402,4.87606987638443
"74","med","Low Prod.","medRecRY","0.05","low",7.32831590037552,6.01725779692362,8.70187082269157
"75","med","Low Prod.","medRecRY","0.5","med",4.70391459689876,3.74233021620091,5.87477853773793
"76","med","Low Prod.","ppnCUUpper","0.75","high",0.188888888888889,0.148611111111111,0.232013888888888
"77","med","Low Prod.","ppnCUUpper","0.05","low",0.318055555555556,0.286111111111111,0.345833333333333
"78","med","Low Prod.","ppnCUUpper","0.5","med",0.222222222222222,0.1875,0.268055555555556
"79","med","Low Prod.","ppnCUExtant","0.75","high",0.944444444444444,0.888888888888889,1
"80","med","Low Prod.","ppnCUExtant","0.05","low",1,0.944444444444444,1
"81","med","Low Prod.","ppnCUExtant","0.5","med",0.944444444444444,0.888888888888889,1
"82","med","Low Prod.","medCatch","0.75","high",1.3153732154618,1.00840010886517,1.59915898812253
"83","med","Low Prod.","medCatch","0.05","low",2.54654003441139,2.07263525373563,3.09970980782924
"84","med","Low Prod.","medCatch","0.5","med",1.56812343181821,1.21206959096102,1.97736287192404
"85","med","Low Prod.","ppnYrsHighCatch","0.75","high",0.675,0.5,0.825
"86","med","Low Prod.","ppnYrsHighCatch","0.05","low",0.925,0.875,0.95
"87","med","Low Prod.","ppnYrsHighCatch","0.5","med",0.775,0.625,0.9
