"","sigma","om","var","synch","cat","avg","lowQ","highQ"
"58","low","Low Prod.","ppnCUUpper","0.75","high",0.205555555555556,0.151319444444445,0.290555555555556
"59","low","Low Prod.","ppnCUUpper","0.05","low",0.202777777777778,0.167986111111112,0.227777777777778
"60","low","Low Prod.","ppnCUUpper","0.5","med",0.2,0.15,0.257013888888888
"61","low","Low Prod.","ppnMixedOpen","0.75","high",0.528125,0.4365625,0.650625
"62","low","Low Prod.","ppnMixedOpen","0.05","low",0.55,0.4875,0.6321875
"63","low","Low Prod.","ppnMixedOpen","0.5","med",0.525,0.45,0.65
"64","low","Low Prod.","medCatch","0.75","high",1.21290190027729,0.912426525188955,1.77688961251671
"65","low","Low Prod.","medCatch","0.05","low",1.30396499105467,1.08172717917301,1.53961726126319
"66","low","Low Prod.","medCatch","0.5","med",1.26047082521082,0.951528245752413,1.68490181038287
"67","low","Low Prod.","ppnYrsHighCatch","0.75","high",0.6125,0.45,0.8
"68","low","Low Prod.","ppnYrsHighCatch","0.05","low",0.675,0.54875,0.8
"69","low","Low Prod.","ppnYrsHighCatch","0.5","med",0.625,0.475,0.80125
"70","low","Low Prod.","stabilityCatch","0.75","high",1.15610448320114,0.806687935994115,1.45801419596078
"71","low","Low Prod.","stabilityCatch","0.05","low",1.35866760546397,1.08485490838645,1.62801264052722
"72","low","Low Prod.","stabilityCatch","0.5","med",1.22807393621075,0.870255306134921,1.50372795168797
"73","med","Low Prod.","medRecRY","0.75","high",3.91151645637848,2.79936187747073,5.99435775197987
"74","med","Low Prod.","medRecRY","0.05","low",4.27194489177973,3.52466326009292,5.38452314518461
"75","med","Low Prod.","medRecRY","0.5","med",4.05289700475522,2.86974679028745,5.73190970689635
"76","med","Low Prod.","ppnCUUpper","0.75","high",0.217361111111112,0.156944444444444,0.314097222222222
"77","med","Low Prod.","ppnCUUpper","0.05","low",0.2125,0.179166666666667,0.245972222222222
"78","med","Low Prod.","ppnCUUpper","0.5","med",0.215277777777778,0.155486111111112,0.294513888888888
"79","med","Low Prod.","ppnMixedOpen","0.75","high",0.5375,0.43125,0.669375
"80","med","Low Prod.","ppnMixedOpen","0.05","low",0.571875,0.505625,0.6503125
"81","med","Low Prod.","ppnMixedOpen","0.5","med",0.540625,0.4559375,0.66875
"82","med","Low Prod.","medCatch","0.75","high",1.25361077608249,0.908526640831868,2.12194813189916
"83","med","Low Prod.","medCatch","0.05","low",1.43398666560374,1.17549281911954,1.78209665993492
"84","med","Low Prod.","medCatch","0.5","med",1.33814664350796,0.92222889720454,1.95100348410796
"85","med","Low Prod.","ppnYrsHighCatch","0.75","high",0.6,0.44875,0.80125
"86","med","Low Prod.","ppnYrsHighCatch","0.05","low",0.725,0.575,0.825
"87","med","Low Prod.","ppnYrsHighCatch","0.5","med",0.65,0.475,0.82625
"88","med","Low Prod.","stabilityCatch","0.75","high",1.01081222521359,0.685994019648804,1.32070170324887
