"sigma","om","var","synch","medn","lowQ","highQ"
"med","Low Prod.","ppnCUUpper","low",0.216666666666667,0.181944444444444,0.251388888888889
"med","Low Prod.","ppnCUUpper","med",0.218055555555556,0.162430555555556,0.287569444444444
"med","Low Prod.","ppnMixedOpen","high",0.546875,0.41875,0.6628125
"med","Low Prod.","ppnMixedOpen","low",0.575,0.5,0.65
"med","Low Prod.","ppnMixedOpen","med",0.55625,0.45,0.66875
"med","Low Prod.","medCatch","high",1.30572059875619,0.872897394287266,2.03383927745059
"med","Low Prod.","medCatch","low",1.43803559570711,1.16584609208643,1.81554676770582
"med","Low Prod.","medCatch","med",1.36430942319063,0.929334939799036,1.94694165466023
"med","Low Prod.","ppnYrsHighCatch","high",0.625,0.425,0.8
"med","Low Prod.","ppnYrsHighCatch","low",0.725,0.575,0.85
"med","Low Prod.","ppnYrsHighCatch","med",0.6625,0.475,0.825
"med","Low Prod.","stabilityCatch","high",1.00788339207847,0.696663977117866,1.3439741080361
"med","Low Prod.","stabilityCatch","low",1.29937557763457,0.93568919736043,1.61971812939721
"med","Low Prod.","stabilityCatch","med",1.11546323378909,0.773393191390647,1.43037774266651
"high","Low Prod.","medRecRY","high",4.06782293416508,2.64962630989248,6.76926600348034
"high","Low Prod.","medRecRY","low",4.82169516401123,3.81333443894513,6.19305385778607
"high","Low Prod.","medRecRY","med",4.34456060413956,2.98869204107646,6.43845433601378
"high","Low Prod.","ppnCUUpper","high",0.236111111111111,0.1625,0.326458333333333
"high","Low Prod.","ppnCUUpper","low",0.227777777777778,0.191666666666667,0.266666666666667
"high","Low Prod.","ppnCUUpper","med",0.230555555555556,0.169375,0.302777777777778
"high","Low Prod.","ppnMixedOpen","high",0.55,0.41875,0.6815625
"high","Low Prod.","ppnMixedOpen","low",0.5875,0.51875,0.6690625
"high","Low Prod.","ppnMixedOpen","med",0.565625,0.45,0.68125
"high","Low Prod.","medCatch","high",1.36738708916043,0.858201941217045,2.31252903107596
"high","Low Prod.","medCatch","low",1.58402707389099,1.23539449329172,2.10543053176356
"high","Low Prod.","medCatch","med",1.46117657565641,0.965832166905801,2.20269949962978
"high","Low Prod.","ppnYrsHighCatch","high",0.625,0.45,0.8
"high","Low Prod.","ppnYrsHighCatch","low",0.75,0.625,0.851249999999999
"high","Low Prod.","ppnYrsHighCatch","med",0.675,0.475,0.825
"high","Low Prod.","stabilityCatch","high",0.892624678253658,0.591684743801971,1.2172276179997
"high","Low Prod.","stabilityCatch","low",1.19840948191194,0.841235364085378,1.53678496786549
"high","Low Prod.","stabilityCatch","med",0.994682739163617,0.675000632426056,1.31430297229608
"low","Low Prod. Heavy Tails","medRecRY","high",3.76103452912055,2.29743242350518,5.59210710285939
"low","Low Prod. Heavy Tails","medRecRY","low",4.22756361492302,3.15031438959557,5.63545625968224
"low","Low Prod. Heavy Tails","medRecRY","med",3.97807943341701,2.54191982285091,5.52248968977518
"low","Low Prod. Heavy Tails","ppnCUUpper","high",0.223611111111111,0.152777777777778,0.304166666666667
"low","Low Prod. Heavy Tails","ppnCUUpper","low",0.215277777777778,0.180555555555556,0.255555555555556
"low","Low Prod. Heavy Tails","ppnCUUpper","med",0.220138888888888,0.156944444444444,0.293125
