"entryYr","yr","stk","prod","ets","pinkCatch","soxCatch","pc2","pc2Prime","sst","sstPrime","pdoPrime","pdo","npgo","npgoPrime","ALPI"
1948,1950,"1",1.5159636539373,-0.157049940772091,-1.3105517132465,-1.26963305203819,1.2253576051601,1.25638887737873,-1.41048205335488,-1.20927879919761,-1.69535521749316,-2.14105236690114,-0.880104311734987,-0.821698034312628,-0.900115421827191
1949,1951,"1",1.19008025026286,-0.15765910929949,-0.866352697446923,-1.1234071284496,1.10869763034467,1.08098806064225,-0.224463305758501,-1.07706405050456,-1.01217057719848,-0.87859347870278,-1.08711116999694,-0.971537765636295,-0.860172936805824
1950,1952,"1",1.15834072639871,-0.220083903803959,-1.0726730123469,-0.691909271666841,1.41196962576959,1.66594427933257,-0.51467162416763,-0.863812443597763,-1.13979847703375,-0.995843463515437,-0.744479128735776,-0.736788853229217,-1.27557478102804
1951,1953,"1",1.37252907531306,0.0527337191471798,-1.17362501819246,-0.996511970589826,-0.469432273402646,-0.540558958865419,-0.467868423879841,-0.555937138204854,-0.19885552922863,-0.135673316312233,1.09984490586532,1.13620778831661,0.749509209555278
1952,1954,"1",1.50987960746145,-0.203591414902322,-0.999706866388476,-1.12420413893014,-0.0851778981264229,0.085047922396925,-0.223176022265547,-0.750858095500685,-0.328985936903806,-0.298408209026352,0.162068147101049,-0.129937941368369,-1.05589111341052
1953,1955,"1",2.59417035678748,-0.284418591437363,-0.95310568321417,-1.1792838490815,1.0318599761495,0.485230221999796,-1.02595075044936,-1.0016621367588,-1.83299314868806,-2.30884113827097,-0.140411701824821,-0.0475260891403526,-1.17571856847463
1954,1956,"1",1.47066559527262,-0.227915713928759,-0.914665235755324,-0.819158458735603,1.18922720272638,0.718208399356839,-0.771596136651866,-0.699386130428724,-2.07323390131916,-2.13397693678314,0.0139511709308589,0.0848323401955526,-1.99853375991479
1955,1957,"1",1.65857328463169,0.290306948240552,-1.21980185563637,-1.10929162214871,1.22742738251342,1.6944817882757,1.84141896109987,1.51831948655596,0.334178640671614,0.330294295744967,-1.28965667355497,-1.26372524171744,-0.768305221256679
1956,1958,"1",1.01733711854218,-0.196471133590262,-0.922406323294602,-1.33384487743891,-1.20601124933424,-0.666453367392805,1.08109774546301,1.86480470665371,0.869715318411765,0.834671385585623,-0.644544783367938,-0.921591188528406,0.717555221538184
1957,1959,"1",2.08652198452475,-0.283085411135596,-1.2878255723143,-1.21688032784342,-0.354368584672941,-0.394258675307263,0.274069029671076,0.335043527734925,-0.186342990029093,0.0220076977461689,-0.2778214267056,-0.474569323412801,-0.991983137376336
1958,1960,"1",1.78862207446032,-0.258591343831031,-1.16378797832432,-0.63825368403708,-1.68212069443701,-1.53026641882718,-0.562169233955239,-0.608098247776845,0.24659086627486,0.124096046591673,0.741151987670045,0.656720648080879,-0.269024158489588
1959,1961,"1",0.462941268071636,0.111111537492164,-1.03306431929082,-0.742188535508673,-0.6059056496316,-1.50438044124055,0.0122754811645874,-0.105982218236843,-0.17132794298965,-0.937218471109108,0.979388328859446,1.26357155994173,1.03709510170912
1960,1962,"1",1.06469444450978,-0.226133147008419,-0.494458050622542,-1.14452583063589,1.39659820973066,1.20745393876836,0.482629962873789,0.410510791390176,-1.37753672182494,-1.35062574514684,-0.159149391581291,-0.59194377961634,-0.780287966763089
1961,1963,"1",3.11461256806543,-0.279283101024001,-0.725437634327622,-1.32725026802753,1.2774640054579,1.42359362520705,1.21674801533433,1.16039803229805,-0.731889699128873,-0.777515905588419,-0.310835451514618,-0.826692692023417,0.797440191580919
1962,1964,"1",2.84564118774867,-0.283752001286479,-0.460083396558361,-1.10482919367691,0.552059870658726,0.928832012246867,-0.527258525773602,-0.277249478748987,-1.14480349271357,-0.879604254433923,0.520761065296328,0.374522487421307,0.166348928243316
1963,1965,"1",3.11349972968499,-0.243247287399082,-1.06097104345701,0.0695989581749969,0.912083036829615,1.31825679546269,-0.568865909098034,-0.518527285474226,-0.311468382024456,-0.326709929498374,-0.955055070760866,-1.013992356178,-0.776293718260953
1964,1966,"1",2.12858560046315,-0.264350982325744,-0.586302101103529,-0.801961356480736,0.0455235804190783,0.658016729537543,-0.733152693082047,-0.388136393345954,-0.511669009217035,-0.50258490671736,-1.08175754435223,-1.28869853027139,-0.880144179316507
1965,1967,"1",2.83486325177052,-0.23973707858956,-1.3931270315588,-1.18723972155693,0.851662169004415,1.41463434566895,0.474724198248959,0.672685716898985,-1.23489377495023,-0.836140897994748,-0.80783036553146,-1.12637215467075,-0.197127685451127
1966,1968,"1",2.05134528879437,-0.286196165173052,-0.473673902691184,-1.2137323143494,0.0476352843899496,0.884850435741202,-0.402012727651671,0.260158472364185,-0.666824495291285,-0.434862932730738,-0.971115947694983,-1.08391756412904,-0.288995401000272
1967,1969,"1",2.72651716031413,-0.065482424053151,-0.930402042362137,-1.01879890986442,-0.113358175339297,-0.18998097113032,-0.940727448087562,-1.2583268767177,-0.173830450829557,-0.0649190151321807,-0.473228762737357,-0.507034598532929,-1.21566105349599
1968,1970,"1",1.85761333423863,-0.219122715758677,-0.800798448882681,-0.0571022841883907,-0.0984882016463301,-0.518316060871717,-0.522032364865724,-0.0333933210494313,0.221565787875788,-0.427787502612733,0.00681300340458472,-0.0075688274540416,1.34465223637365
1969,1971,"1",1.61786206722105,-0.0762327506063521,-0.984339721163035,-0.854961367409425,1.1933309800527,1.12465059008131,-2.21166722567523,-2.03009445550185,-1.70536524885279,-1.51133908639867,0.348552773724962,0.486902285914057,-1.02793137389557
